C,N,D,loss
1.3972367362937152e+18,73824672,3154403320,3.405928
1.7656304230443515e+18,89818214,3276303602,3.325255
2.0558971596900728e+18,105811837,3238291053,3.300442
2.8672714001875866e+18,116713554,4094456456,3.198217
2.890502074101728e+18,73824672,6525600926,3.222268
3.409871701529292e+18,139739646,4066934247,3.131834
3.519958752050989e+18,89818277,6531630409,3.183878
3.93360146377242e+18,162765880,4027872688,3.108465
4.745385884898523e+18,105811837,7474566799,3.094521
5.130795602711605e+18,305635704,2797881886,3.07143
5.150785831304684e+18,174942929,4907110610,3.048505
5.266353412114683e+18,73824689,11889322927,3.108465
5.394452556879036e+18,216725143,4148459263,3.085263
5.39748090701735e+18,195834199,4593580477,3.048505
5.401634154627279e+18,139739646,6442497799,3.057653
5.445592965022768e+18,116713582,7776291426,3.07143
5.484159150896782e+18,552481994,1654400569,3.183878
5.507252807696336e+18,278352107,3297533759,3.07143
5.596644720489731e+18,424609581,2196780670,3.122464
5.615533392166412e+18,174942805,5349875520,3.048505
5.769735572993707e+18,73824672,13025761903,3.094521
5.799989109562024e+18,57334197,16860179357,3.160113
6.372103149390175e+18,216725296,4900291793,3.021224
6.829816109677549e+18,89818341,12673387985,3.048505
6.836883261202216e+18,139739745,8154305321,3.012185
7.997509358825341e+18,162765996,8189168876,2.962954
8.136124334910959e+18,251068939,5400989573,2.976298
8.304442468343919e+18,105811988,13080500392,2.99868
8.703231302287944e+18,105811837,13708660436,2.99868
8.995867482538874e+18,216725143,6918030957,2.949663
9.064103959507464e+18,305635704,4942760197,2.949663
9.074816471874256e+18,139739646,10823481093,2.976298
9.159930978025012e+18,278352107,5484618680,2.940838
9.219055166720772e+18,552481733,2781104067,2.985229
9.292327618897865e+18,816341493,1897148783,3.048505
9.295220597002336e+18,278352370,5565619702,2.940838
9.31041358998686e+18,586598190,2645312627,2.985229
9.351702074984495e+18,174942805,8909294721,2.940838
9.387219872346272e+18,632223970,2474655690,2.99868
9.395423098256298e+18,424609581,3687867441,2.962954
9.559185749312727e+18,1143251954,1393566501,3.094521
9.617936820167483e+18,1017958925,1574709383,3.07143
9.986502766586448e+18,174943053,9514050970,2.940838
1.0198140877817889e+19,305636065,5561157006,2.914521
1.0798813418939523e+19,116713665,15420664231,2.949663
1.1154027672114962e+19,73824689,25181340209,3.048505
1.1541294052708788e+19,195834245,9822332200,2.892773
1.373087155042666e+19,139739844,16376707818,2.905801
1.5753731022006288e+19,251069058,10457767514,2.845488
1.687989538119788e+19,488545739,5758551708,2.836974
1.829664892813436e+19,278352501,10955322745,2.811587
1.9109754358411088e+19,174943053,18205690344,2.858309
1.939137038063048e+19,552481994,5849774469,2.803175
2.0328966553395737e+19,305636138,11085603681,2.778089
2.062417244855716e+19,509239983,6749984658,2.790607
2.2434743064857084e+19,195834245,19093309486,2.811587
2.3968674097387737e+19,216725450,18432440738,2.790607
2.4039512626982416e+19,586598606,6830199387,2.778089
2.4771221111337e+19,139739844,29544450178,2.836974
2.531689358631073e+19,278352370,15158779749,2.769778
2.538262338199592e+19,216725296,19519812866,2.778089
2.676386982096937e+19,139739745,31921090028,2.836974
2.6776417683424854e+19,424609581,10510210976,2.75736
2.719844379915452e+19,305636065,14831606869,2.744991
2.737892125546081e+19,663957063,6872663606,2.744991
2.7622409694873526e+19,552482125,8332821541,2.744991
2.784243483766788e+19,632224419,7339807939,2.736779
2.784444408031644e+19,632224419,7340337615,2.736779
2.805746588064054e+19,174942929,26730113234,2.803175
2.823650165799477e+19,816342072,5764842672,2.769778
2.8244940463554167e+19,586598606,8025061824,2.736779
2.848754204723974e+19,1609079695,2950707594,2.824255
2.8708129747671486e+19,1143252765,4185153484,2.75736
2.8905042863662887e+19,1017959646,4732512886,2.744991
2.8925320644970627e+19,1793809772,2687512829,2.836974
2.9035179114482905e+19,1429233255,3385868963,2.803175
2.9234191671389647e+19,1265593428,3849866136,2.769778
3.09764668475906e+19,424609882,12158794908,2.736779
3.1998570841849086e+19,162766111,32765390180,2.790607
3.2751006267934257e+19,724283354,7536416536,2.724509
3.576308031721697e+19,278352501,21413543472,2.712287
3.649524006775557e+19,488546085,12450289131,2.704173
3.681617949318348e+19,816342072,7516493549,2.704173
3.7441746119222125e+19,305636138,20417386074,2.704173
4.0593804172664095e+19,174943219,38673313957,2.769778
4.084052194668984e+19,509240224,13366488617,2.679973
4.118797244204996e+19,552482255,12425126797,2.679973
4.386534028896152e+19,892666348,8189946961,2.671955
4.4431704709985935e+19,195834384,37814013961,2.744991
4.721544374487925e+19,1017959646,7730405278,2.671955
4.727524641447526e+19,586598744,13432022844,2.648044
5.112922448312967e+19,216725655,39319467794,2.704173
5.207379319923896e+19,1143252765,7591466910,2.640121
5.246773944042734e+19,278352370,31415659405,2.692049
5.346771865708087e+19,552481994,16129550898,2.640121
5.362153673164827e+19,1017959646,8779250552,2.628285
5.479317564410615e+19,663957220,13754193293,2.628285
5.582454613549142e+19,816341686,11397299911,2.628285
5.669908381846752e+19,424609581,22255379345,2.659976
5.714942452713038e+19,632224419,15065701053,2.628285
5.724003739725731e+19,1143252765,8344616805,2.616495
5.7599128821577564e+19,632224269,15184255451,2.640121
5.812652960869033e+19,1429233255,6778288219,2.659976
5.856190515229448e+19,1265593428,7712048207,2.648044
5.861759895011208e+19,1609079695,6071545032,2.659976
5.913715592063704e+19,424609882,23212348711,2.640121
6.291009573232504e+19,724283354,14476400569,2.616495
6.475291600084256e+19,251069236,42984767244,2.679973
6.829716046060349e+19,278352699,40893658056,2.659976
7.022410462811826e+19,488546085,23956833959,2.616495
7.379132017930528e+19,816342072,15065441057,2.596971
7.462026669698492e+19,1265593428,9826782317,2.648044
8.031695986077822e+19,305636354,43797669312,2.640121
8.253745547381542e+19,552482255,24898976301,2.585322
8.345923257729427e+19,892666348,15582386543,2.577587
8.459725377977074e+19,552481994,25520365277,2.577587
8.77523395351445e+19,586598744,24932528514,2.577587
8.92550747421947e+19,632224269,23529381136,2.566031
8.938193222414102e+19,424609581,35083967400,2.596971
8.955921875825392e+19,586598329,25445923956,2.585322
9.239820734235676e+19,1143252494,13470078830,2.554521
9.27192962637726e+19,1592872901,9701474632,2.608667
9.414553761078442e+19,816341686,19221023756,2.566031
9.638582780528e+19,1017959165,15780892970,2.546878
9.69101691818307e+19,2979521172,5420902867,2.628285
9.69281625689239e+19,2006673381,8050484904,2.577587
9.72604311906606e+19,1793808924,9036677011,2.577587
9.778503990571033e+19,1265593129,12877366575,2.554521
9.8125331160455e+19,1730543416,9450338956,2.566031
9.8356280085446e+19,2638630841,6212583092,2.585322
9.996234063370273e+19,1017959646,16366454371,2.554521
1.0693461541147923e+20,1609079695,11076167304,2.596971
1.093048859167327e+20,632224717,28814882566,2.546878
1.1226237865507304e+20,1143252765,16365931507,2.516535
1.1901370418705375e+20,1793809772,11057815425,2.554521
1.2679406318186529e+20,724283696,29176887419,2.524086
1.3610225335222991e+20,816342265,27787007821,2.505252
1.38154900292525e+20,488546662,47131253762,2.554521
1.47990006098827e+20,1265594923,19488859003,2.524086
1.484636116216092e+20,1265594923,19551228291,2.516535
1.6834766534705064e+20,1429234944,19631442919,2.494015
1.68442227995902e+20,1429234944,19642470107,2.505252
1.7004494789916567e+20,1592874407,17792253125,2.494015
1.7008706430359824e+20,1730545870,16380868336,2.505252
1.731895641657912e+20,1424351714,20265308823,2.494015
1.7522877872156135e+20,892666559,32716355445,2.486553
1.830191498447705e+20,586599438,52000035595,2.505252
1.857685955147912e+20,1592874407,19437460007,2.494015
1.8976354573852413e+20,1424351714,22204668487,2.494015
1.9583792871232835e+20,2006676701,16265527359,2.486553
1.9993409626954485e+20,1017959887,32734442488,2.456928
2.1291189155295884e+20,1609081596,22053148419,2.456928
2.1491609529263207e+20,1609081596,22260741345,2.464301
2.192158510446852e+20,663958005,55027539277,2.475405
2.2400714751459947e+20,2282807579,16354652461,2.475405
2.2476722635254736e+20,1143253305,32767195357,2.445913
2.283489025687541e+20,1793811468,21216360309,2.464301
2.3966868535226955e+20,1793811468,22268104318,2.456928
2.404494088288999e+20,2297743486,17440981432,2.464301
2.7039559398486625e+20,586599438,76825733941,2.464301
2.7509650979219705e+20,2282805960,20084676097,2.416772
2.7808448870158008e+20,1793812740,25837376308,2.427656
2.787138497260669e+20,1143254386,40631646688,2.434941
2.809168861116504e+20,816343229,57352691040,2.434941
2.8377990114178223e+20,424610585,111388297613,2.516535
2.854585646565311e+20,1429235620,33288022481,2.405931
2.874834143307796e+20,1265594026,37858824714,2.434941
2.930178015323031e+20,2006674804,24336928015,2.398733
2.933628569501239e+20,2979523285,16409943745,2.434941
2.953042590959414e+20,816343229,60290052937,2.445913
2.9883707794373856e+20,4516062221,11028674366,2.456928
2.9910960385882364e+20,6795609987,7335853697,2.524086
3.239674567410148e+20,1730544643,31200914888,2.427656
3.2633203456306735e+20,2979525398,18254139558,2.434941
3.3672620739824805e+20,1429233593,39266523573,2.416772
3.807673479568956e+20,1424350704,44554493827,2.405931
3.934868272798652e+20,2006674804,32681497644,2.398733
4.083427091570604e+20,1143254386,59529286766,2.387979
4.300440885858786e+20,1609080455,44543462406,2.387979
4.4872472452756085e+20,2282805960,32761196263,2.377267
4.7174100898016526e+20,1793810196,43830446319,2.377267
4.7223131148723886e+20,2297741856,34253290186,2.370155
5.4457763521200017e+20,632225315,143561064439,2.445913
5.4730026044124063e+20,1143254386,79786888366,2.370155
5.497154483066788e+20,816343229,112231274890,2.398733
5.532362693545165e+20,1265595821,72855838631,2.370155
5.58795306063008e+20,2979523285,31257534211,2.359528
5.626412650070955e+20,4516062221,20764449108,2.387979
5.764782426318482e+20,1429235620,67224540009,2.359528
5.8004165431512754e+20,2638632712,36637766452,2.348944
5.837678146679801e+20,1793812740,54239014820,2.348944
5.870141868383024e+20,2006674804,48755133423,2.331417
5.916752737513713e+20,2979523285,33096752801,2.359528
6.028362873379071e+20,6795609987,14784944215,2.405931
6.572364015198353e+20,1730547097,63297555100,2.348944
7.408667745290475e+20,1592875537,77518797238,2.331417
8.55333463008578e+20,1609082737,88594311453,2.320959
8.808733756083985e+20,2282809197,64312089434,2.314015
9.283223717467074e+20,6795609987,22767697910,2.341917
9.527952889499e+20,1793812740,88526082629,2.30364
9.589465114187176e+20,1793812740,89097604796,2.30364
9.637196013851184e+20,1429235620,112381703436,2.331417
9.6478358057193e+20,2979527510,53967369949,2.30364
9.72920941335928e+20,2282809197,71032432497,2.293307
9.739615342991392e+20,1265595821,128261266129,2.331417
9.76866315811358e+20,2638636454,61702722400,2.286446
9.774573522063332e+20,1609082737,101243742749,2.314015
9.785929906110132e+20,2006678124,81278023519,2.30364
9.845628878076404e+20,1730547097,94821929364,2.30364
9.897802966598888e+20,4516062221,36528146577,2.320959
9.946530259730888e+20,4516062221,36707976153,2.30364
1.0122833531682387e+21,9293222063,18154509927,2.359528
1.0140094329607288e+21,12568994539,13445910222,2.416772
1.0148429509647972e+21,11451830548,14769734071,2.405931
1.2934573783822256e+21,2979527510,72352488432,2.276195
1.296638617414313e+21,1730547097,124877523735,2.286446
1.4991529113588075e+21,2006678124,124513650472,2.265985
1.5795547450809503e+21,6795609987,38739586983,2.293307
1.7950361606125183e+21,2282809197,131054620670,2.249076
1.9865475589378256e+21,4516059019,73314201258,2.249076
2.3081234654682127e+21,2638636454,145790165092,2.222281
2.441789481432357e+21,9293224259,43791573539,2.259205
2.6210105818569774e+21,2979527510,146612204602,2.212313
2.8759709657566266e+21,9293215473,51578325680,2.238988
2.877484491941246e+21,6795606774,70572174729,2.205694
2.9288609265185467e+21,16183346311,30163322120,2.286446
2.945119538586171e+21,2979527510,164741978288,2.212313
2.9558018830090366e+21,2638636454,186700083835,2.205694
2.9741731989753425e+21,12568994539,39437962330,2.265985
2.9886583229787847e+21,4516059019,110297433754,2.205694
3.019197987836002e+21,11451830548,43940544049,2.265985
3.2208857329498026e+21,6795606774,78994313041,2.205694
5.031322209115321e+21,9293216132,90232884891,2.179415
1.2956022673438285e+22,6795614805,317754489344,2.077394
